# MODIS Aqua GEOGRAPHIC METADATA TEXT FILE day 2024-03-26
# NFiles = 212, max geo IngestTime = 2024-03-26 19:56:50.101946
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MYD03.A2024086.0130.061.2024086034636.NRT.hdf,2024-03-26 01:30,61,116503,D,180,89.9923212974245,66.4715012908661,-180,-159.85390511569,136.324176204407,85.9765125622551,-20.2675647548258,75.5991393694733,66.4705808009882,70.5474398881223,85.237492036106
MYD03.A2024086.0135.061.2024086034122.NRT.hdf,2024-03-26 01:35,61,116503,B,85.9564851885819,86.2559503113611,61.1873573309907,-23.6709442965584,-27.4488810692285,85.9584394882494,46.9160281305199,-1.20291892077879,85.4949184845879,70.9030819896798,60.9278113377447,67.7808692086346
MYD03.A2024086.0140.061.2024086033733.NRT.hdf,2024-03-26 01:40,61,116503,N,46.3409765315826,68.3158196283886,45.8311640624955,-1.43078400849251,-2.10908285469954,46.3425638642305,29.7357376772022,-1.42365704112879,68.2649600968186,61.245941606775,45.6728586829622,49.9595357942867
MYD03.A2024086.0145.061.2024086033717.NRT.hdf,2024-03-26 01:45,61,116503,N,29.2346767194416,50.3928169531651,28.8795367572994,-3.35672624557296,-1.73780035129917,29.2388120056801,20.7560641785627,-3.37577152918333,50.4103446093975,45.8963491203728,28.7905383051992,32.1016837680559
MYD03.A2024086.0150.061.2024086033706.NRT.hdf,2024-03-26 01:50,61,116503,N,20.3935413714453,32.4435501269418,11.3242217812123,-6.18506569029758,-3.57174923404699,20.3983495740813,14.9930814071683,-6.20795684467271,32.4706715251492,28.9496653489882,11.2847172207233,14.2694329679698
MYD03.A2024086.0155.061.2024086033723.NRT.hdf,2024-03-26 01:55,61,116503,N,14.7872758657577,14.4842954361373,-6.50457659267066,-9.83087086536905,-6.29764724436857,14.7934693988541,10.8032794962343,-9.83913941030048,14.5158771854156,11.3936225969643,-6.50943623222221,-3.47922638176924
MYD03.A2024086.0200.061.2024086033759.NRT.hdf,2024-03-26 02:00,61,116503,N,10.7710813018628,-3.39328940031516,-24.4269660320976,-14.7060566494878,-9.87142522856175,10.9147895050507,7.69591433335996,-14.7130099292121,-3.36726916462408,-6.44955953243366,-24.5509011189099,-21.1244617986706
MYD03.A2024086.0205.061.2024086033726.NRT.hdf,2024-03-26 02:05,61,116503,N,7.72164342745793,-21.0549719983511,-42.3419744663384,-21.8705273878478,-14.6875528896105,8.04136968707674,5.4511253764929,-21.9160418900303,-21.0397563843349,-24.3761158354348,-42.593056641226,-38.3133929200873
MYD03.A2024086.0210.061.2024086033757.NRT.hdf,2024-03-26 02:10,61,116503,N,5.4881916787057,-38.2523917570798,-60.2825815415675,-34.3780736935624,-21.8399420251639,6.0165963269836,4.48654333332744,-34.5858313885791,-38.2414702859201,-42.2752119856322,-60.6281381293774,-54.4829178843242
MYD03.A2024086.0215.061.2024086033948.NRT.hdf,2024-03-26 02:15,61,116503,N,8.78522667018344,-54.4896877271765,-78.1388797209722,-61.4822411554903,-34.3108004671433,5.21619193470225,9.00083236303108,-61.8330266676892,-54.4842256289763,-60.1763422929542,-78.3644602238543,-67.3187835910574
