# MODIS Aqua GEOGRAPHIC METADATA TEXT FILE day 2024-04-09
# NFiles = 211, max geo IngestTime = 2024-04-09 18:28:44.484318
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MYD03.A2024100.0000.061.2024100015258.NRT.hdf,2024-04-09 00:00,61,116706,N,45.1490008796772,21.2268554540958,0.211436580689419,20.1705935717801,23.3381907786502,45.1544856801241,40.7410224077032,20.1538522505155,21.2584381049043,18.0353780965697,0.197448084446013,3.16813994052955
MYD03.A2024100.0005.061.2024100015241.NRT.hdf,2024-04-09 00:05,61,116706,N,40.6527141854223,3.30548098041582,-17.689682348018,15.8573160358536,20.126478116876,40.7316071416344,37.2596776500967,15.8505897465801,3.33051316357238,0.272607105754546,-17.7667726535379,-14.5375309006615
MYD03.A2024100.0010.061.2024100015151.NRT.hdf,2024-04-09 00:10,61,116706,N,37.2774226342457,-14.4663407594107,-35.620303213146,9.7237505581086,15.8421673264266,37.5285916685719,34.6917501501886,9.71595952152081,-14.4469377773327,-17.6417551112849,-35.828240115313,-31.9448202339265
MYD03.A2024100.0015.061.2024100015233.NRT.hdf,2024-04-09 00:15,61,116706,N,34.7242002657355,-31.8722656123583,-53.4950219987542,-0.135871867154929,9.74707661974933,35.1600651824268,33.1057217398135,-0.271627395487139,-31.8595530423333,-35.5604853369501,-53.8150668516099,-48.5653939781302
MYD03.A2024100.0020.061.2024100015753.NRT.hdf,2024-04-09 00:20,61,116706,N,34.1350037735699,-48.5430002561531,-71.3483696955266,-19.8269104325185,-0.0837177002220839,33.7794807922598,34.1522296625544,-20.1581466887516,-48.5354306210122,-53.4139898371042,-71.6630507904632,-63.1326947201761
MYD03.A2024100.0025.061.2024100020929.NRT.hdf,2024-04-09 00:25,61,116706,N,96.3078436557718,-63.2280200968511,-89.2071844298501,-63.6357946178065,-19.7022888593183,35.2073840915337,105.986830850473,-63.6609633989647,-63.223855841604,-71.1418115477455,-87.5717666330364,-70.6262771686477
MYD03.A2024100.0030.061.2024100020849.NRT.hdf,2024-04-09 00:30,61,116706,B,180,-64.3942628510965,-89.9876801783588,-180,-63.4050777521154,97.1708621838957,-166.701699530885,-109.128759244556,-70.9873420251764,-87.0415899775803,-72.3633147600219,-64.1116376098404
MYD03.A2024100.0035.061.2024100015530.NRT.hdf,2024-04-09 00:35,61,116706,D,-109.616259480229,-49.9663861547966,-72.9817378911643,-166.971171907123,-109.614488450848,-167.825713292631,-165.317663353168,-130.363291792385,-64.4470780437561,-72.8507040217679,-54.5680513094977,-49.7590100579945
MYD03.A2024100.0040.061.2024100015140.NRT.hdf,2024-04-09 00:40,61,116706,D,-130.96956863896,-33.3943088984358,-55.0363236114543,-166.798957785408,-130.967911939072,-165.621575017914,-166.813817138729,-140.870216095486,-50.0355843282619,-55.0484045739932,-36.7865400871518,-33.2671324100009
MYD03.A2024100.0045.061.2024100015319.NRT.hdf,2024-04-09 00:45,61,116706,D,-141.358905433222,-16.0156788793279,-37.1587143980666,-169.281585408858,-141.35478147079,-166.907053907615,-169.305460378047,-147.347992031475,-33.4646841581293,-37.1804511863441,-18.9706275354048,-15.9471236462489
MYD03.A2024100.0050.061.2024100015143.NRT.hdf,2024-04-09 00:50,61,116706,D,-147.687592732841,1.73567126325053,-19.224143852176,-172.584074262639,-147.681976341168,-169.302272599046,-172.597721045162,-151.955842446181,-16.0880171508992,-19.2456199320406,-1.18668637819612,1.7625137841386
MYD03.A2024100.0055.061.2024100015447.NRT.hdf,2024-04-09 00:55,61,116706,D,-152.140865967504,19.6576820260777,-1.30495231762611,-176.980883556537,-152.134279086344,-172.577417493413,-177.018454034634,-155.531445453534,1.6657478196539,-1.32346281298321,16.5373407502407,19.7496707163093
MYD03.A2024100.0100.061.2024100015201.NRT.hdf,2024-04-09 01:00,61,116706,D,-155.566355127005,37.6320010749473,16.474263644099,176.716264031096,-155.334859581453,-176.963009699484,176.602238389788,-158.134909762411,19.6043294156454,16.4532447367772,33.9474176851558,37.8427252505646
