# MODIS Aqua GEOGRAPHIC METADATA TEXT FILE day 2024-04-03
# NFiles = 182, max geo IngestTime = 2024-04-03 15:57:16.849234
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MYD03.A2024094.0000.061.2024094004911.NRT.hdf,2024-04-03 00:00,61,116618,D,-135.445205090758,2.45944561125332,-18.4967058635593,-160.287023128598,-135.439542887736,-156.967030322655,-160.29987704375,-139.665049938851,-15.3743294739162,-18.5178777429132,-0.467461135914528,2.48498011104702
MYD03.A2024094.0005.061.2024094004848.NRT.hdf,2024-04-03 00:05,61,116619,D,-139.844030556025,20.3935091975146,-0.580101591355999,-164.737309525975,-139.8359864293,-160.280057962884,-164.777383205017,-143.204236553418,2.38966479976144,-0.598517669374694,17.24530431869,20.4750073777617
MYD03.A2024094.0010.061.2024094022805.NRT.hdf,2024-04-03 00:10,61,116619,D,-143.185993700623,38.358687905119,17.1876983195733,-171.146759004629,-142.995718800377,-164.721559836788,-171.26732115966,-145.772069980325,20.3291643214861,17.1718891185883,34.6402886126533,38.5790663407105
MYD03.A2024094.0015.061.2024094023658.NRT.hdf,2024-04-03 00:15,61,116619,D,-145.737116044682,56.2994672335836,34.6041382656109,178.130108048978,-145.348599303872,-171.122696086681,177.874985134194,-147.339199216934,38.299405174559,34.5923538534348,51.1827295570151,56.6269471888761
MYD03.A2024094.0020.061.2024094023823.NRT.hdf,2024-04-03 00:20,61,116619,D,-145.70249282429,74.234795814092,51.2051022845807,155.619906204944,-146.622947748632,178.187453655577,155.20046916643,-145.656608411739,56.217166819043,51.1985632407027,65.284429862837,74.5387396165062
MYD03.A2024094.0025.061.2024094024732.NRT.hdf,2024-04-03 00:25,61,116619,D,180,89.9925313603848,65.4469354762411,-180,-144.372887864528,155.747689358528,107.147273557334,-16.272500598163,74.0156639270883,65.445870195132,70.80084457806,86.5858600326756
MYD03.A2024094.0030.061.2024094023852.NRT.hdf,2024-04-03 00:30,61,116619,B,107.22072514028,87.8708861544619,62.3376035664883,-22.8484995914671,-27.1014553183658,107.222662496494,65.3879689097868,14.8794282511335,86.6814937639151,71.1629493249319,62.0715685576256,69.2900244013271
MYD03.A2024094.0035.061.2024094023515.NRT.hdf,2024-04-03 00:35,61,116619,N,64.8313288893676,69.8414987652535,47.2226047651198,14.7013889351994,13.8824249033781,64.8329799061409,47.0364679499996,14.9666455809677,69.775806137788,62.393868340457,47.0575061692913,51.4775868449151
MYD03.A2024094.0040.061.2024094023458.NRT.hdf,2024-04-03 00:40,61,116619,N,46.5264985073386,51.9175486636539,30.356644898133,13.0932696842417,14.5895176482998,46.5291339014118,37.6342223356046,13.0744505040275,51.9334026996872,47.2876569994781,30.2580904842772,33.6229307900387
MYD03.A2024094.0045.061.2024094023415.NRT.hdf,2024-04-03 00:45,61,116619,N,37.2404604651072,33.9739570455319,12.8326061748256,10.3604146817759,12.9003016576265,37.2442496355028,31.6669179802994,10.3367112428746,34.0027577264656,30.4265964303564,12.7916998620129,15.7813068347961
MYD03.A2024094.0050.061.2024094023508.NRT.hdf,2024-04-03 00:50,61,116619,N,31.4594263256031,16.0103694238626,-4.98019524524668,6.7928889222954,10.2394172865438,31.4655068135535,27.388111043577,6.78268090749908,16.0421475177983,12.9017458097226,-4.98871617680461,-1.97590972168268
MYD03.A2024094.0055.061.2024094023612.NRT.hdf,2024-04-03 00:55,61,116619,N,27.3297001255906,-1.87854428641798,-22.8997126054484,2.051424663065,6.74738078123847,27.4515185933778,24.1765010702759,2.04456172013803,-1.85064988206257,-4.92332394495108,-23.0109671859275,-19.6364227278348
MYD03.A2024094.0100.061.2024094023523.NRT.hdf,2024-04-03 01:00,61,116619,N,24.2001887702237,-19.5669012736856,-40.8208257994304,-4.84419186809275,2.06969872031365,24.5243578561105,21.8757700070449,-4.8809873865451,-19.5495102290237,-22.8508035549387,-41.059478048946,-36.8829294359613
MYD03.A2024094.0105.061.2024094023542.NRT.hdf,2024-04-03 01:05,61,116619,N,21.9112023878311,-36.8190759925288,-58.6772933411291,-16.6003594535553,-4.81555292455664,22.4096774588079,20.7422162973943,-16.7888677776368,-36.8077178442991,-40.7557457574697,-59.0174476526141,-53.1146422900453
MYD03.A2024094.0110.061.2024094023738.NRT.hdf,2024-04-03 01:10,61,116619,N,23.8692119796876,-53.1165296727486,-76.5340970861229,-41.7000453657271,-16.5348594406379,21.4287891361076,24.0051824081783,-42.0564030037058,-53.1106480934366,-58.580845841809,-76.7936724300769,-66.4450523775569
MYD03.A2024094.0115.061.2024094025037.NRT.hdf,2024-04-03 01:15,61,116619,N,180,-66.6008087391661,-89.9864872364408,-180,-41.5288731790208,25.4719199507848,164.274184778313,-91.549467187337,-66.5959897127886,-76.228466476037,-84.5932406655594,-70.1207118657065
MYD03.A2024094.0120.061.2024094024718.NRT.hdf,2024-04-03 01:20,61,116619,B,-91.5935341194832,-60.5776570855256,-85.6566425668582,161.308268709618,-91.5915872990632,157.813057940061,-177.874741065841,-129.46377594225,-70.4884658413551,-84.852500251274,-67.1530838844034,-60.3014034392998
